------------------------------------------------------------------------------------------------------------------------
Vector testing report
Params:
    conf: "conf/check_1602604387.hocon"

Collected 995 files with 0 errors

------------------------------------------------------------------------------------------------------------------------
Metric: "auroc"
                                       scores_valid                                                              scores_test
                                               mean  t_pm t_int_l t_int_h   std                           values        mean  t_pm t_int_l t_int_h   std                           values
model_name feature_name
lgbm       embedding_base_0001                0.519 0.017   0.502   0.536 0.014  [0.521 0.500 0.530 0.532 0.509]       0.551 0.013   0.538   0.564 0.010  [0.547 0.565 0.551 0.537 0.555]
           embedding_base_0005                0.519 0.020   0.499   0.539 0.016  [0.542 0.506 0.528 0.513 0.504]       0.560 0.018   0.543   0.578 0.014  [0.550 0.562 0.583 0.561 0.546]
           embedding_base_0010                0.521 0.013   0.509   0.534 0.010  [0.530 0.531 0.526 0.511 0.510]       0.555 0.028   0.528   0.583 0.022  [0.548 0.579 0.574 0.524 0.551]
           embedding_base_0020                0.527 0.018   0.509   0.546 0.015  [0.540 0.521 0.546 0.512 0.518]       0.539 0.018   0.522   0.557 0.014  [0.530 0.562 0.536 0.541 0.526]
           embedding_base_0040                0.526 0.015   0.511   0.541 0.012  [0.539 0.525 0.537 0.511 0.518]       0.541 0.006   0.535   0.547 0.005  [0.534 0.543 0.540 0.547 0.539]
           embedding_base_0080                0.525 0.016   0.509   0.541 0.013  [0.530 0.513 0.545 0.516 0.519]       0.536 0.020   0.516   0.555 0.016  [0.523 0.556 0.519 0.546 0.533]
           embedding_base_0100                0.534 0.017   0.517   0.551 0.014  [0.543 0.528 0.552 0.526 0.520]       0.541 0.023   0.518   0.563 0.018  [0.541 0.564 0.523 0.522 0.553]
           embedding_base_0120                0.530 0.017   0.513   0.548 0.014  [0.537 0.532 0.549 0.523 0.512]       0.537 0.022   0.515   0.559 0.018  [0.545 0.560 0.513 0.538 0.529]
           embedding_base_0200                0.534 0.022   0.513   0.556 0.018  [0.527 0.542 0.558 0.510 0.534]       0.536 0.021   0.515   0.557 0.017  [0.551 0.551 0.519 0.540 0.517]
           embedding_base_0300                0.540 0.009   0.531   0.549 0.007  [0.533 0.539 0.552 0.539 0.536]       0.537 0.026   0.511   0.563 0.021  [0.535 0.567 0.508 0.534 0.539]
           embedding_base_0400                0.541 0.014   0.528   0.555 0.011  [0.528 0.534 0.556 0.541 0.547]       0.535 0.014   0.521   0.548 0.011  [0.526 0.553 0.532 0.526 0.535]
           embedding_base_0500                0.545 0.012   0.533   0.557 0.010  [0.530 0.545 0.542 0.551 0.555]       0.540 0.012   0.529   0.552 0.010  [0.539 0.552 0.537 0.527 0.547]
           embedding_base_0600                0.541 0.019   0.521   0.560 0.016  [0.530 0.530 0.531 0.564 0.549]       0.542 0.016   0.526   0.558 0.013  [0.550 0.557 0.524 0.537 0.541]
           embedding_base_0700                0.548 0.012   0.536   0.560 0.010  [0.543 0.534 0.549 0.559 0.555]       0.544 0.019   0.525   0.562 0.015  [0.539 0.565 0.524 0.541 0.548]
           embedding_base_0800                0.548 0.014   0.534   0.562 0.011  [0.544 0.539 0.538 0.561 0.559]       0.558 0.023   0.535   0.581 0.019  [0.544 0.591 0.555 0.546 0.555]
           embedding_base_0900                0.546 0.010   0.536   0.556 0.008  [0.534 0.547 0.545 0.549 0.556]       0.554 0.011   0.543   0.565 0.009  [0.564 0.564 0.551 0.548 0.544]
           embedding_base_1000                0.546 0.010   0.535   0.556 0.008  [0.539 0.542 0.547 0.559 0.541]       0.549 0.018   0.531   0.567 0.014  [0.551 0.568 0.554 0.545 0.529]
           embedding_base_1100                0.544 0.008   0.536   0.552 0.007  [0.538 0.551 0.537 0.543 0.550]       0.553 0.014   0.540   0.567 0.011  [0.566 0.559 0.555 0.537 0.549]
           embedding_base_1200                0.543 0.022   0.520   0.565 0.018  [0.519 0.545 0.532 0.566 0.551]       0.555 0.014   0.541   0.568 0.011  [0.552 0.573 0.547 0.557 0.546]
           embedding_base_1300                0.541 0.009   0.532   0.549 0.007  [0.535 0.541 0.534 0.552 0.541]       0.548 0.016   0.532   0.564 0.013  [0.549 0.570 0.539 0.544 0.539]
           embedding_base_1400            *** 0.549 0.009   0.541   0.558 0.007  [0.551 0.551 0.541 0.559 0.544]       0.549 0.017   0.532   0.566 0.014  [0.560 0.561 0.556 0.536 0.532]
           embedding_base_1500                0.549 0.012   0.537   0.561 0.010  [0.542 0.542 0.543 0.564 0.553]       0.555 0.019   0.536   0.574 0.015  [0.544 0.581 0.546 0.555 0.547]
           embedding_base_1600                0.540 0.016   0.524   0.555 0.013  [0.538 0.536 0.534 0.561 0.529]       0.551 0.020   0.531   0.571 0.016  [0.544 0.575 0.545 0.533 0.557]

lgbm       embedding_base_256_mf_0001           0.518 0.016   0.502   0.534 0.013  [0.517 0.512 0.501 0.533 0.528]       0.505 0.021   0.484   0.527 0.017  [0.526 0.512 0.513 0.496 0.481]
           embedding_base_256_mf_0005           0.524 0.021   0.503   0.545 0.017  [0.550 0.515 0.505 0.527 0.525]       0.525 0.013   0.512   0.538 0.010  [0.535 0.528 0.532 0.520 0.510]
           embedding_base_256_mf_0010           0.526 0.011   0.515   0.537 0.009  [0.530 0.519 0.517 0.539 0.524]       0.543 0.015   0.527   0.558 0.012  [0.547 0.551 0.555 0.526 0.534]
           embedding_base_256_mf_0020           0.533 0.023   0.509   0.556 0.019  [0.547 0.510 0.518 0.555 0.533]       0.537 0.028   0.510   0.565 0.022  [0.544 0.551 0.559 0.529 0.503]
           embedding_base_256_mf_0040           0.528 0.018   0.510   0.546 0.014  [0.537 0.503 0.532 0.531 0.536]       0.533 0.011   0.522   0.543 0.009  [0.532 0.536 0.539 0.538 0.518]
           embedding_base_256_mf_0080           0.540 0.023   0.517   0.563 0.019  [0.551 0.515 0.525 0.552 0.557]       0.545 0.014   0.531   0.559 0.011  [0.548 0.558 0.552 0.541 0.528]
           embedding_base_256_mf_0100           0.548 0.019   0.529   0.567 0.015  [0.555 0.533 0.530 0.556 0.564]       0.547 0.010   0.538   0.557 0.008  [0.544 0.555 0.552 0.552 0.535]
           embedding_base_256_mf_0120           0.549 0.030   0.518   0.579 0.024  [0.566 0.524 0.519 0.568 0.565]       0.561 0.015   0.546   0.577 0.012  [0.555 0.563 0.550 0.582 0.558]
           embedding_base_256_mf_0200           0.550 0.022   0.528   0.571 0.017  [0.559 0.537 0.531 0.574 0.546]       0.560 0.019   0.541   0.580 0.016  [0.554 0.572 0.550 0.582 0.545]
           embedding_base_256_mf_0300           0.555 0.030   0.526   0.585 0.024  [0.549 0.535 0.534 0.589 0.569]       0.567 0.019   0.548   0.586 0.015  [0.577 0.566 0.569 0.582 0.542]
           embedding_base_256_mf_0400       *** 0.558 0.026   0.532   0.585 0.021  [0.561 0.540 0.533 0.581 0.577]       0.567 0.012   0.555   0.579 0.010  [0.572 0.562 0.553 0.578 0.570]
           embedding_base_256_mf_0500           0.557 0.036   0.522   0.593 0.029  [0.559 0.526 0.531 0.594 0.576]       0.560 0.018   0.542   0.579 0.015  [0.582 0.558 0.545 0.566 0.549]
           embedding_base_256_mf_0600           0.552 0.032   0.520   0.584 0.026  [0.542 0.532 0.528 0.589 0.568]       0.565 0.009   0.555   0.574 0.008  [0.564 0.556 0.564 0.577 0.563]
           embedding_base_256_mf_0700           0.554 0.026   0.527   0.580 0.021  [0.541 0.532 0.543 0.579 0.573]       0.567 0.021   0.546   0.588 0.017  [0.564 0.555 0.549 0.591 0.576]
           embedding_base_256_mf_0800           0.563 0.032   0.531   0.595 0.026  [0.551 0.536 0.546 0.591 0.589]       0.554 0.016   0.539   0.570 0.013  [0.550 0.563 0.537 0.571 0.552]
           embedding_base_256_mf_0900           0.558 0.026   0.532   0.584 0.021  [0.544 0.537 0.548 0.579 0.581]       0.556 0.014   0.542   0.571 0.012  [0.550 0.555 0.544 0.575 0.557]
           embedding_base_256_mf_1000       *** 0.559 0.026   0.533   0.585 0.021  [0.547 0.543 0.542 0.581 0.583]       0.568 0.021   0.547   0.588 0.017  [0.568 0.572 0.565 0.589 0.543]
           embedding_base_256_mf_1100           0.554 0.029   0.524   0.583 0.024  [0.548 0.525 0.540 0.581 0.575]       0.557 0.013   0.544   0.569 0.010  [0.560 0.546 0.554 0.573 0.552]
           embedding_base_256_mf_1200           0.559 0.032   0.527   0.590 0.025  [0.546 0.530 0.546 0.586 0.584]       0.562 0.018   0.544   0.580 0.014  [0.556 0.553 0.559 0.587 0.555]
           embedding_base_256_mf_1300           0.554 0.024   0.530   0.579 0.020  [0.545 0.530 0.548 0.573 0.576]       0.564 0.017   0.548   0.581 0.014  [0.558 0.579 0.544 0.571 0.570]
           embedding_base_256_mf_1400       *** 0.556 0.023   0.533   0.579 0.019  [0.541 0.539 0.550 0.571 0.581]       0.567 0.014   0.552   0.581 0.012  [0.574 0.569 0.546 0.573 0.571]
           embedding_base_256_mf_1500       *** 0.555 0.018   0.536   0.573 0.015  [0.546 0.539 0.548 0.565 0.575]       0.571 0.015   0.556   0.587 0.012  [0.578 0.565 0.557 0.589 0.567]
           embedding_base_256_mf_1600           0.549 0.023   0.526   0.573 0.019  [0.540 0.528 0.542 0.563 0.574]       0.563 0.015   0.548   0.578 0.012  [0.559 0.569 0.566 0.578 0.545]

           embedding_base_256_sigma_0001        0.493 0.011   0.482   0.504 0.009  [0.482 0.487 0.500 0.492 0.503]       0.500 0.016   0.484   0.516 0.013  [0.522 0.497 0.501 0.488 0.492]
           embedding_base_256_sigma_0005        0.493 0.010   0.483   0.502 0.008  [0.490 0.481 0.503 0.494 0.495]       0.519 0.012   0.506   0.531 0.010  [0.523 0.509 0.530 0.507 0.523]
           embedding_base_256_sigma_0010        0.496 0.010   0.485   0.506 0.008  [0.496 0.485 0.490 0.504 0.503]       0.514 0.020   0.495   0.534 0.016  [0.501 0.509 0.539 0.502 0.522]
