                                        oof_rocauc_score                                                         test_rocauc_score                                                        
                                                    mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                      
lgb_baseline                                      0.8751  0.8626  0.8875 0.0090  [0.863 0.872 0.873 0.880 0.887]            0.8746  0.8711  0.8781 0.0025  [0.873 0.873 0.873 0.877 0.878]
lgb_embeds: embeddings_0010.pickle                0.6817  0.6650  0.6984 0.0121  [0.668 0.676 0.677 0.690 0.698]            0.6487  0.6407  0.6566 0.0057  [0.644 0.644 0.647 0.651 0.658]
lgb_embeds: embeddings_0025.pickle                0.7431  0.7321  0.7541 0.0079  [0.734 0.739 0.743 0.744 0.756]            0.7592  0.7527  0.7656 0.0047  [0.752 0.758 0.759 0.762 0.764]
lgb_embeds: embeddings_0050.pickle                0.7794  0.7521  0.8067 0.0197  [0.752 0.768 0.784 0.790 0.803]            0.7912  0.7873  0.7951 0.0028  [0.787 0.790 0.791 0.791 0.795]
lgb_embeds: embeddings_0100.pickle                0.8142  0.7899  0.8384 0.0175  [0.795 0.796 0.820 0.829 0.831]            0.8008  0.7954  0.8061 0.0039  [0.796 0.799 0.799 0.804 0.806]
lgb_embeds: embeddings_0150.pickle                0.8338  0.8118  0.8558 0.0159  [0.810 0.831 0.836 0.838 0.854]            0.8384  0.8335  0.8432 0.0035  [0.832 0.839 0.840 0.840 0.841]
lgb_embeds: embeddings_0200.pickle                0.8379  0.8167  0.8592 0.0153  [0.818 0.831 0.834 0.852 0.854]            0.8495  0.8441  0.8549 0.0039  [0.845 0.846 0.848 0.853 0.854]
lgb_embeds: embeddings_1000.pickle                0.8580  0.8400  0.8761 0.0130  [0.842 0.852 0.854 0.870 0.872]            0.8603  0.8550  0.8656 0.0038  [0.855 0.859 0.859 0.862 0.866]
lgb_embeds: trx_features_0010.pickle              0.6529  0.6437  0.6621 0.0066  [0.647 0.647 0.653 0.655 0.663]            0.6287  0.6160  0.6414 0.0092  [0.616 0.627 0.627 0.633 0.641]
lgb_embeds: trx_features_0025.pickle              0.7245  0.7025  0.7465 0.0158  [0.704 0.718 0.722 0.732 0.746]            0.7474  0.7439  0.7509 0.0025  [0.745 0.746 0.747 0.749 0.751]
lgb_embeds: trx_features_0050.pickle              0.7663  0.7431  0.7896 0.0168  [0.746 0.759 0.767 0.767 0.792]            0.7784  0.7743  0.7824 0.0029  [0.774 0.778 0.778 0.780 0.782]
lgb_embeds: trx_features_0100.pickle              0.8052  0.7798  0.8305 0.0183  [0.781 0.793 0.810 0.816 0.826]            0.7884  0.7848  0.7921 0.0026  [0.786 0.787 0.788 0.789 0.793]
lgb_embeds: trx_features_0150.pickle              0.8302  0.8093  0.8512 0.0151  [0.810 0.825 0.832 0.833 0.852]            0.8315  0.8271  0.8359 0.0032  [0.828 0.829 0.832 0.832 0.836]
lgb_embeds: trx_features_0200.pickle              0.8400  0.8220  0.8580 0.0130  [0.826 0.829 0.838 0.853 0.854]            0.8468  0.8417  0.8519 0.0037  [0.843 0.843 0.847 0.848 0.852]
lgb_embeds: trx_features_1000.pickle              0.8732  0.8565  0.8899 0.0120  [0.859 0.866 0.872 0.878 0.891]            0.8690  0.8649  0.8730 0.0029  [0.866 0.867 0.869 0.870 0.873]
linear_baseline                                   0.8347  0.8253  0.8442 0.0068  [0.826 0.831 0.834 0.841 0.842]            0.8370  0.8331  0.8410 0.0028  [0.833 0.836 0.837 0.838 0.841]
linear_embeds: embeddings_0010.pickle             0.6911  0.6694  0.7127 0.0156  [0.675 0.677 0.690 0.701 0.712]            0.6656  0.6595  0.6717 0.0044  [0.659 0.664 0.665 0.669 0.671]
linear_embeds: embeddings_0025.pickle             0.7478  0.7286  0.7670 0.0138  [0.730 0.746 0.747 0.748 0.769]            0.7618  0.7570  0.7666 0.0035  [0.756 0.762 0.763 0.763 0.764]
linear_embeds: embeddings_0050.pickle             0.7832  0.7590  0.8073 0.0174  [0.758 0.775 0.788 0.791 0.804]            0.8003  0.7962  0.8044 0.0029  [0.796 0.799 0.800 0.803 0.803]
