                                                oof_balanced_accuracy_score                                                         test_balanced_accuracy_score                                                        
                                                                       mean t_int_l t_int_h    std                           values                         mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                                    
gender_cd: xgb_baseline_trx                                          0.6661  0.6612  0.6710 0.0035  [0.664 0.664 0.665 0.666 0.672]                       0.7036  0.7002  0.7070 0.0024  [0.701 0.701 0.704 0.705 0.707]
gender_cd: xgb_embeds: embeddings_0010.pickle                        0.5645  0.5592  0.5698 0.0038  [0.559 0.564 0.565 0.566 0.569]                       0.5759  0.5698  0.5821 0.0045  [0.569 0.575 0.578 0.578 0.580]
gender_cd: xgb_embeds: embeddings_0025.pickle                        0.5994  0.5961  0.6027 0.0024  [0.597 0.599 0.599 0.599 0.603]                       0.6147  0.6128  0.6167 0.0014  [0.613 0.614 0.615 0.616 0.616]
gender_cd: xgb_embeds: embeddings_0050.pickle                        0.6225  0.6151  0.6298 0.0053  [0.617 0.618 0.622 0.625 0.630]                       0.6425  0.6401  0.6448 0.0017  [0.641 0.641 0.643 0.643 0.645]
gender_cd: xgb_embeds: embeddings_0100.pickle                        0.6359  0.6306  0.6411 0.0038  [0.632 0.633 0.637 0.638 0.641]                       0.6598  0.6532  0.6664 0.0047  [0.652 0.659 0.661 0.662 0.665]
gender_cd: xgb_embeds: embeddings_0150.pickle                        0.6395  0.6316  0.6474 0.0057  [0.634 0.636 0.639 0.640 0.649]                       0.6648  0.6602  0.6694 0.0033  [0.660 0.664 0.666 0.667 0.668]
gender_cd: xgb_embeds: embeddings_0200.pickle                        0.6414  0.6352  0.6476 0.0045  [0.635 0.640 0.640 0.643 0.647]                       0.6691  0.6666  0.6717 0.0018  [0.666 0.669 0.669 0.670 0.672]
gender_cd: xgb_embeds: embeddings_1000.pickle                        0.6428  0.6336  0.6521 0.0067  [0.633 0.640 0.644 0.646 0.651]                       0.6714  0.6681  0.6747 0.0024  [0.668 0.671 0.671 0.672 0.675]
gender_cd: xgb_embeds: trx_features_0010.pickle                      0.5615  0.5543  0.5687 0.0052  [0.555 0.561 0.561 0.561 0.569]                       0.5747  0.5691  0.5803 0.0041  [0.570 0.573 0.573 0.577 0.580]
gender_cd: xgb_embeds: trx_features_0025.pickle                      0.6062  0.5994  0.6131 0.0049  [0.599 0.606 0.606 0.608 0.613]                       0.6177  0.6155  0.6198 0.0015  [0.616 0.616 0.618 0.619 0.619]
gender_cd: xgb_embeds: trx_features_0050.pickle                      0.6320  0.6236  0.6405 0.0061  [0.626 0.628 0.632 0.634 0.641]                       0.6565  0.6542  0.6588 0.0017  [0.654 0.657 0.657 0.657 0.658]
gender_cd: xgb_embeds: trx_features_0100.pickle                      0.6521  0.6467  0.6575 0.0039  [0.648 0.650 0.651 0.653 0.658]                       0.6794  0.6772  0.6817 0.0016  [0.678 0.678 0.679 0.681 0.681]
gender_cd: xgb_embeds: trx_features_0150.pickle                      0.6595  0.6520  0.6670 0.0054  [0.653 0.657 0.659 0.661 0.668]                       0.6897  0.6837  0.6957 0.0043  [0.683 0.689 0.690 0.692 0.695]
gender_cd: xgb_embeds: trx_features_0200.pickle                      0.6624  0.6564  0.6683 0.0043  [0.659 0.660 0.660 0.663 0.670]                       0.6961  0.6897  0.7025 0.0046  [0.689 0.696 0.696 0.698 0.702]
gender_cd: xgb_embeds: trx_features_1000.pickle                      0.6661  0.6612  0.6710 0.0035  [0.664 0.664 0.665 0.666 0.672]                       0.7036  0.7002  0.7070 0.0024  [0.701 0.701 0.704 0.705 0.707]
gender_cd: xgb_random                                                0.5000  0.4987  0.5013 0.0009  [0.499 0.499 0.500 0.501 0.501]                       0.4992  0.4970  0.5015 0.0016  [0.497 0.499 0.499 0.501 0.501]
